id,name,location,price,rating,features,description
span-resort,Span Resort & Spa,Kullu,₹25000/night,4.9,"River Front, Heliport, Luxury Spa","Nestled along the fast-flowing Beas river in Kullu. Offers 5-star luxury, vast walnut orchards, and ultimate relaxation."
wildflower,Wildflower Hall Shimla,Mashobra/Shimla,₹28000/night,4.9,"Indoor Heated Pool, Luxury Spa, Cedar Forest Views","An Oberoi resort set in 22 acres of virgin cedar and pine forests at 8,250 ft. Former residence of Lord Kitchener."
oberoi-cecil,The Oberoi Cecil,Shimla,₹22000/night,4.8,"Heritage Property, Valley Views, Michelin-Style Dining","A grand heritage hotel on Mall Road since 1884. Restored Edwardian elegance with teak floors and panoramic Shimla valley views."
taj-theog,Taj Theog Resort & Spa,Theog/Shimla,₹32000/night,4.9,"Infinity Pool, 360° Mountain Views, Jiva Spa","Perched on a ridge at 7,200 ft. Unparalleled views of snow-capped peaks and the Sutlej valley. Home to the signature Jiva Spa."
the-himalayan,The Himalayan Manali,Manali,₹20000/night,4.8,"Gothic Architecture, Cherry Orchards, Antique Library","An 1890s manor in Victorian Gothic Revival style, set amidst apple and cherry orchards with views of the Beas Valley."
rakkh-resort,Rakkh Resort,Solan,₹18000/night,4.7,"Eco Luxury, Farm-to-Table, Infinity Pool","A boutique eco-resort on 12 acres of pine forest. Features an infinity pool overlooking the Shivalik hills and artisanal stone cottages."
castle-naggar,Castle Naggar,Naggar/Kullu,₹8000/night,4.7,"Medieval Castle, Roerich Gallery, Valley Panorama","A 500-year-old stone castle converted to a heritage hotel. Unmatched views of the entire Kullu Valley."
zostel-spiti,Grand Shangri-La Kaza,Kaza/Spiti,₹6500/night,4.6,"High Altitude, Stargazing Deck, Spitian Cuisine","At 3,800m in the heart of Spiti Valley. Traditional mud-brick architecture with modern comfort. Legendary stargazing deck."
lodge-at-wah,The Lodge at Wah,Palampur,₹16000/night,4.9,"Tea Estate, Organic Farm, Kangra Valley Views","An eco-luxury homestay inside Wah Tea Estate — the largest working tea plantation in Kangra Valley. Organic meals and Dhauladhar sunsets."
home-kullu-luxury,Raison Heritage Estate,Raison/Kullu,₹12000/night,4.8,"Heritage, Orchard, River Beas Views","Luxurious 100-year-old stone farmhouse situated among kiwi and apple orchards alongside the river Beas."
home-kullu-quiet,Great Himalayan Forest Stay,Gushaini/Kullu,₹2500/night,4.7,"Nature, GHNP Boundary, Organic Meals","Extremely quiet deep-nature stay near GHNP boundary. Organic meals, zero noise pollution, pure detox."
home-spiti,Tashi Homestay Kibber,Kibber/Spiti,₹1500/night,4.8,"Traditional, Rooftop Stargazing, Authentic Cuisine","Traditional Spitian mud-brick home at one of the highest villages. Authentic meals — thukpa, momos, butter tea."
home-tirthan,Raju's Riverside Stay,Tirthan Valley/Kullu,₹2000/night,4.7,"Riverside, Trout Fishing, GHNP Treks","Wooden cottage on Tirthan River banks. Home-cooked Himachali meals, trout fishing, GHNP treks arranged."
home-jibhi,Pine View Cottage Jibhi,Jibhi/Banjar,₹1500/night,4.7,"Pine Forest, Bonfire, Waterfall Treks","Cozy wooden cottage surrounded by pine and deodar forest. Bonfire, local food, waterfall treks. Off-grid and peaceful."
