id,category,name,area,price,phone,whatsapp,tags,description
cab-kullu-airport,cabs,Bhuntar Airport Taxis,Kullu Airport,₹1200–2500,+919876500091,919876500091,"kullu, airport, luxury","Premium luxury cabs and sedans directly from Bhuntar Airport to Kullu, Naggar, or Tirthan Valley."
raft-kullu,adventure,Beas River Rafting,Buntar/Kullu,₹1500/person,+919876500092,919876500092,"kullu, rafting, adventure","White water rafting on the Beas river. 14km stretch of rapids. Safety gear and certified guides included."
para-kullu,paragliding,Dobhi Paragliding Kullu,Dobhi/Kullu,₹2000–3000/flight,+919876500093,919876500093,"kullu, dobhi, tandem","High-altitude tandem flights in the Kullu valley. Smooth thermals and breathtaking views of apple orchards."
bike-kullu,bikes,Valley Moto Rentals,Dhalpur/Kullu,₹1000–2000/day,+919876500094,919876500094,"kullu, enfield, dhalpur","Royal Enfields and Scooters for exploring Kullu, Naggar, and Tirthan. Helmets included."
bike-manali-1,bikes,Himalayan Riders Manali,Old Manali,₹1200–2500/day,+919876500001,919876500001,"manali, enfield, scooty","Royal Enfield Himalayan, Classic 350, and Activa available. Helmets and saddle bags included. Multi-day discounts for Spiti circuit."
bike-manali-2,bikes,Spiti Moto Rentals,Mall Road/Manali,₹1500–3000/day,+919876500002,919876500002,"manali, spiti, adventure","Adventure-ready bikes with toolkit, puncture kit, and bungee cords. GPS tracker included. Pickup/drop at bus stand."
bike-shimla-1,bikes,Hill Riders Shimla,Lakkar Bazaar/Shimla,₹800–1800/day,+919876500003,919876500003,"shimla, scooty, kufri","Scooters and bikes for Shimla-Kufri-Narkanda circuit. Valid license required. Fuel not included."
cab-chd-manali,cabs,Chandigarh → Manali,Chandigarh Pickup,₹4500–6000,+919876500004,919876500004,"chandigarh, manali, airport","Sedan or SUV, AC, experienced hill drivers. 10-12 hour drive via Mandi or Bilaspur route. Pickup from airport/railway station."
cab-delhi-shimla,cabs,Delhi → Shimla,Delhi NCR Pickup,₹5500–7500,+919876500005,919876500005,"delhi, shimla, intercity","Innova, Ertiga, or Sedan. Experienced pahadi drivers who know every hairpin. Overnight halt option available."
cab-manali-kaza,cabs,Manali → Kaza (Spiti),Manali,₹7000–9000,+919876500006,919876500006,"manali, spiti, kaza, suv","SUV only — Atal Tunnel route via Kunzum Pass. 10-12 hours. Driver stays in Spiti for return trip. Fuel and tolls included."
tempo-manali,tempo,Tempo Traveller Manali,Manali & Kullu,₹12000–18000/day,+919876500007,919876500007,"manali, group, family","12-seater and 17-seater AC tempo travellers for group trips. Ideal for Rohtang, Solang, Spiti circuit."
tempo-shimla,tempo,Shimla Group Transport,Shimla & Surrounds,₹10000–15000/day,+919876500008,919876500008,"shimla, corporate, group","AC tempo travellers for Shimla-Kufri-Chail-Narkanda circuit. Corporate and wedding group specialists."
trek-op-1,treks,Summit Himalayas,Manali Base,₹2500–4000/day,+919876500012,919876500012,"manali, hampta, certified","ATOAI-certified trek operator. Hampta Pass, Bhrigu Lake, Beas Kund, Pin Parvati. All-inclusive — tents, meals, guide, permits."
trek-op-2,treks,Parvati Valley Treks,Kasol Base,₹1500–3000/day,+919876500013,919876500013,"kasol, kheerganga, budget","Local guides for Kheerganga, Rasol, Grahan, and Chalal. Small group sizes (max 8). Camping gear provided."
trek-op-3,treks,Dharamshala Trek Co.,McLeodGanj,₹2000–3500/day,+919876500014,919876500014,"dharamshala, triund, snow","Triund, Indrahar Pass, and Kareri Lake specialists. Forest permits handled. Snow trek options Dec-Feb."
para-bir,paragliding,Billing Paragliding Club,Bir Billing/Kangra,₹2500–3500/flight,+919876500015,919876500015,"bir, tandem, gopro","Tandem paragliding from Billing (2,430m) with certified pilots. 15-25 min flight. GoPro video included. World Cup venue."
para-solang,paragliding,Solang Sky Sports,Solang Valley/Manali,₹1500–2500/flight,+919876500016,919876500016,"manali, solang, combo","Short tandem flights over Solang Valley. Combo packages with zorbing and ATV ride available. Seasonal (Mar-Nov)."
